x, y, t, 
7.105427357601002e-15, 1.7763568394002505e-14, 1731623945161342676, 
7.105427357601002e-15, 1.7763568394002505e-14, 1731623945212387985, 
7.105427357601002e-15, 1.7763568394002505e-14, 1731623945261353997, 
2.0589720151065194e-08, -2.413442246052e-08, 1731623945310343375, 
2.0589720151065194e-08, -2.413442246052e-08, 1731623945361352489, 
-9.882987797027454e-07, 1.1584586445678724e-06, 1731623945401484512, 
4.2095202843484e-06, -8.026627619983628e-05, 1731623945451671643, 
0.00024054638925008476, 0.0005519209080375731, 1731623945521509033, 
0.0024587141815572977, 0.0004838544991798699, 1731623945612356341, 
0.005991799756884575, 0.0006463241297751665, 1731623945711492070, 
0.009594876319169998, 0.001410763245075941, 1731623945801307594, 
0.015585117042064667, 0.0034114059526473284, 1731623945920581767, 
0.02079121395945549, 0.005844662431627512, 1731623946012310541, 
0.026975631713867188, 0.010081002488732338, 1731623946111352327, 
0.032975420355796814, 0.01472744531929493, 1731623946201636457, 
0.03999311104416847, 0.022007817402482033, 1731623946303163409, 
0.043804414570331573, 0.026626424863934517, 1731623946350407366, 
0.05606624484062195, 0.045757051557302475, 1731623946509455158, 
0.059808921068906784, 0.05427762120962143, 1731623946600886555, 
0.06390140950679779, 0.06859807670116425, 1731623946701527587, 
0.06809967011213303, 0.08922230452299118, 1731623946811475500, 
0.06931474804878235, 0.10460375249385834, 1731623946909365170, 
0.06881728768348694, 0.1186535656452179, 1731623947001422607, 
0.06579608470201492, 0.13832992315292358, 1731623947117808548, 
0.06159749627113342, 0.15430636703968048, 1731623947211319238, 
0.05493752285838127, 0.17151738703250885, 1731623947312375619, 
0.04715064540505409, 0.18685480952262878, 1731623947401091689, 
0.036228667944669724, 0.20402570068836212, 1731623947500658631, 
0.028671754524111748, 0.2139209657907486, 1731623947560924007, 
0.0058755045756697655, 0.23808342218399048, 1731623947712312328, 
-0.00966739747673273, 0.25089967250823975, 1731623947801411022, 
-0.02902643382549286, 0.26399651169776917, 1731623947900562597, 
-0.05289502441883087, 0.2768385112285614, 1731623948011493607, 
-0.07651066035032272, 0.2863256633281708, 1731623948111316873, 
-0.0999123603105545, 0.29351943731307983, 1731623948201329198, 
-0.12694495916366577, 0.29889044165611267, 1731623948301129905, 
-0.15847229957580566, 0.30170938372612, 1731623948411354213, 
